SUBJECT OF PICTURE,Description,Zone - e.g. Watershed,Classification (Healthy / Unhealthy / It Depends),Source link 1 - Image File Name,"Image source (e.g., TERC-owned or source URL)",Anything else/Comments,,Notes:
"Big grass lawn, sprinkler, or dirt eroding",Unhealthy: Start in your own backyard with a lake-friendly landscape to keep Tahoe blue,Watershed,Unhealthy,SprinklerHead.JPG,http://commons.wikimedia.org/wiki/File:Sprinkler_Irrigation_-_Sprinkler_head.JPG,Duplicate with Row 90,,
Large lawn,"It Depends: Large lawns require a lot of fertilizer and water to maintain and can result in nutrient pollution into the lake, however, small properly managed lawn areas can also provide fire-safe defensible space areas around a home",Watershed,It Depends,lawn.jpg,http://farm3.staticflickr.com/2338/4507810159_eac54e1879_o.jpg,Duplicate,,
Native plant garden,"Healthy: Native plants require less fertilizer and water and can provide better habitat for the native butterflies, bees and birds",Watershed,Healthy,TERC_NativePlantGarden_AlisonToy.jpg,TERC-Owned,,,
Lake-friendly landscaping,Healthy: Start in your own backyard with a lake-friendly landscape to keep Tahoe blue,Watershed,Healthy,,,Duplicate,,
House with BMPs,"Healthy: Tahoe basin property owners have a special responsibility to implement BMPs on their property that infiltrate all water and keep eroding soil from leaving the property BMPs improve water quality by reducing soil erosion and capturing polluted water before it enters Lake Tahoe The intent of BMPs are to help designed landscapes better mimic the natural ecosystem, reducing the amount of dirt and sediment the flows into Tahoe Typical BMPs include armored drip line under roof eaves, slotted channel drains in driveways, slope stabilization, and infiltration basins",Watershed,Healthy,HouseBMPs_Flickr.jpg,https://www.flickr.com/photos/vinceviloria/8065110631/in/photolist-dhFNpz-9YnZZC-dqBe97-81q1Kh-61DxKn-6xEvwR-4oGjdE-5TqZtS-6AjGjs-9Yntd3-7b7Ptj-7ACgKD-bzL4pv-6Mkary-48ges4-5FeuG9-bJ3Vuv-4GPMgs-9deNdi-4LdoTz-8ur2on-fFEZfZ-j9rNYG-fFEZSZ-5g4cU5-nKrbLK-7Kxgre-8G18P8-75Cjhk-6AjHCA-bZbtuj-9uwmiw-k2j5L2-cidbTN-fdB1cA-4XuLfs-bGJ4fV-9QFN7h-81shgf-9YkedF-8Mt5T-dbvXxW-dTvH5z-8G16o4-bFd7Wq-7gfGRe-ch9DdQ-5FevGj-8hjAKW-d91cTb,,,
"House not implementing BMPs (e.g., eroding dirt)","Unhealthy: Tahoe basin property owners have a special responsibility to implement BMPs on their property that infiltrate all water and keep eroding soil from leaving the property BMPs improve water quality by reducing soil erosion and capturing polluted water before it enters Lake Tahoe The intent of BMPs are to help designed landscapes better mimic the natural ecosystem, reducing the amount of dirt and sediment the flows into Tahoe Typical BMPs include armored drip line under roof eaves, slotted channel drains in driveways, slope stabilization, and infiltration basins",Watershed,Unhealthy,HouseOnShore_NoDefinsible.jpg,,,,
Clean community with no trash,Healthy: Clean communities are healthy environments,Watershed,Healthy,,http://upload.wikimedia.org/wikipedia/commons/f/f9/Brea-downtown_restaurant_art.jpg,,,
"Trash community with plastic bags, styrofoam, cigarette butts, gang tagging",Unhealthy: Trash negatively impacts the health and beauty of communities Plastic bags and cigarette butts harm wildlife and take a long time to degrade / break down in the ecosystem,Watershed,Unhealthy,Requested photo from the League,http://farm5.staticflickr.com/4127/4963268112_2ba75cf4c4_o.jpg,,,
Young students monitoring local stream health,"Healthy: Do your part! Get your hands dirty and volunteer with organizations that are actively restoring the Lake Tahoe Basin (Issues: wildlife, invasive species, fire danger, trash pickups, stream health & monitoring, outreach) Organizations: League, Tahoe RCD, TERC, TRPA, UNR?, CalTrout, SN Alliance",Watershed,Healthy,TERC_StreamMonitoring_AlisonToy.jpg,TERC-Owned,,,
"Trash, weeds, etc collected by volunteers","Unhealthy: Do your part! Get your hands dirty and volunteer with organizations that are actively restoring the Lake Tahoe Basin (Issues: wildlife, invasive species, fire danger, trash pickups, stream health & monitoring, outreach) Organizations: League, Tahoe RCD, TERC, TRPA, UNR?, CalTrout, SN Alliance",Watershed,Unhealthy,Requested photo from the League,http://upload.wikimedia.org/wikipedia/commons/b/bd/Clean_Up_Austria.JPG,,,
